InstanceName,NativeAttributeName,AggregationStatisticCV,IntervalTimeUnitName,AggregationInterval,SourceName,ScenarioName,UnitName,Value
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1980,548.4613095
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1981,468.6949405
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1982,657.9375
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1983,1469.465774
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1984,1908.630952
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1985,1467.125
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1986,1876.040179
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1987,1182.090774
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1988,404.59375
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1989,315.4642857
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1990,369.1220238
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1991,266.1279762
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1992,375.0639881
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1993,257.6651786
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1994,439.5252976
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1995,515.5104167
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1996,395.7708333
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1997,457.891369
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1998,1355.848214
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/1999,1314.614583
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/2000,814.4092262
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/2001,362.0997024
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/2002,275.3110119
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/2003,357.0580357
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/2004,272.4300595
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/2005,299.2589286
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/2006,411.4360119
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,2/1/2007,465.6339286
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1967,613.7822581
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1968,750.0698925
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1969,1320.591398
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1970,528.8870968
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1971,1371.008065
